url,region,places,note,evidence
https://www.instagram.com/traveljenny/reel/DbZinEljC4p/,Seoul,Fashion-brand shopping,Save for the Seoul extension; outside the Japan routes.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/fitswithval/reel/DYs84PmMrMG/,Japan,Lingerie shopping,Store not identified from the available caption.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/come_japanfood/reel/DcvbJvBT_HP/,Osaka,"Yamamoto no Hamburg, Shinsaibashi",Excluded as requested.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/global.and.beyond.travel/reel/Dddyfi1zVKe/,Kyushu,Beppu; Yufuin; Aso; Takachiho; Kagoshima; Ibusuki; Kirishima; Yufuin no Mori,Full caption read. Strong support for C; southern Kyushu would need a separate route rather than extra day trips.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/captain.japan1/reel/Dcw2bxMz6JS/,Tokyo,"Onigiri Manma, Shinjuku",Food pin for Tokyo buffer days; old Bongo name can confuse searches.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/throughjapan.co/reel/Dc38lIMtDMw/,Japan,General itinerary reel,Caption contains hashtags; specific stops unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/serikasensei/reel/Dbiw8_5P8x4/,Nationwide,Yoshinoya; Mos Burger; Sukiya; Matsuya; Marugame; CoCo Ichibanya; Nakau; Tenya; Freshness Burger; Fujisoba,Useful inexpensive meals between special dinners.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/masafilm_jp/reel/DdY5069T-4m/,Yamaguchi,Akiyoshido Cave,Possible western-route substitution; needs bus or car planning.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/katgao/reel/DXdIMy_EXL2/,Japan,Hotel recommendations advertisement,Hotel identities unresolved from caption; not treated as verified stay recommendations.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/twosometravellers/reel/DaHwBOvh04B/,Japan,Five alternatives to Tokyo advertisement,Specific places unresolved from caption.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/musyatravel/reel/DdZUYgSAJLL/,Tokyo,Jimbocho; Komiyama bookshop,Preview identifies Jimbocho; remaining two neighbourhoods not extracted.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/all.i.love.about.japan/reel/DdaRxE5M3Hg/,Izu,Mt Omuro; Izu Shaboten Zoo; Izu Kogen Experience Village; Jogasaki Coast; Akazawa Daytrip Onsen,Full caption read. Explicitly a car/taxi sample day; Route D spreads the worthwhile stops over two days.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/aii.japan/reel/DdbkYq5P-ft/,Nationwide,Komeda Coffee,Casual breakfast/coffee option; locate a convenient branch.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/where.to.find.me/reel/DWeNgNJjTm1/,Tokyo,Traditional neighbourhood,Neighbourhood not named in preview; unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/allstarsteven/reel/DbrWIOMRtQp/,Nationwide,Seria,Small housewares and gifts shopping.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/nickandhelmi/reel/DbF3G0_TUnw/,Kyoto,Nishiki Market furikake shop,Exact shop unresolved; optional only if Kyoto is added.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
https://www.instagram.com/tokyo.zebra/reel/DZHTgWHIMRb/,Japan,Japanese food / condiments,Specific product names unresolved.,Caption / collection preview; full caption where noted. Video and carousel coverage incomplete.
