Destination,Region,Suggested nights,Experience / plan,Food,Source URLs,Provenance,Instagram match
Matsumoto + Narai,Central Honshu,2–3 nights,"Day 1: Matsumoto Castle, Nawate Street and Nakamachi craft shops; soba dinner.","Shinshu soba, oyaki dumplings, apples and local sake.",https://www.japan.travel/en/spot/1366/ ; https://visitmatsumoto.com/en/plan/index_1_2_19.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Matsumoto + Narai,Central Honshu,2–3 nights,"Day 2: local train to Narai-juku; walk the wooden main street, browse lacquerware and return before evening.","Shinshu soba, oyaki dumplings, apples and local sake.",https://www.japan.travel/en/spot/1366/ ; https://visitmatsumoto.com/en/plan/index_1_2_19.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Matsumoto + Narai,Central Honshu,2–3 nights,Optional day 3: museums or an easy countryside outing; Kamikochi only if conditions and buses suit.,"Shinshu soba, oyaki dumplings, apples and local sake.",https://www.japan.travel/en/spot/1366/ ; https://visitmatsumoto.com/en/plan/index_1_2_19.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Takayama + Hida-Furukawa,Central Honshu,3–4 nights,"Day 1: Sanmachi lanes, Takayama Jinya and a sake tasting; reserve Hida beef dinner.","Hida beef, hoba miso, Takayama ramen, mitarashi dango and sake.",https://visitgifu.com/31180/ ; https://visitgifu.com/see-do/takayama-autumn-festival/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Takayama + Hida-Furukawa,Central Honshu,3–4 nights,"Day 2: Miyagawa morning market, Higashiyama temple walk and Shiroyama Park; evening onsen.","Hida beef, hoba miso, Takayama ramen, mitarashi dango and sake.",https://visitgifu.com/31180/ ; https://visitgifu.com/see-do/takayama-autumn-festival/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Takayama + Hida-Furukawa,Central Honshu,3–4 nights,"Day 3: Hida-Furukawa canals and carpentry heritage, or Hida Folk Village for vernacular houses.","Hida beef, hoba miso, Takayama ramen, mitarashi dango and sake.",https://visitgifu.com/31180/ ; https://visitgifu.com/see-do/takayama-autumn-festival/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Takayama + Hida-Furukawa,Central Honshu,3–4 nights,"Extra slow day: cafés, craft shopping and a second neighbourhood walk.","Hida beef, hoba miso, Takayama ramen, mitarashi dango and sake.",https://visitgifu.com/31180/ ; https://visitgifu.com/see-do/takayama-autumn-festival/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Shirakawa-go,Central Honshu,3–4 hours in transit,Reserve Takayama → Shirakawa-go and Shirakawa-go → Kanazawa separately.,"Hoba-miso set meal, mountain vegetables and simple local snacks.",https://www.nouhibus.co.jp/route_bus/shirakawago_en/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Shirakawa-go,Central Honshu,3–4 hours in transit,"Walk Ogimachi, visit one open farmhouse and use the viewpoint if conditions allow.","Hoba-miso set meal, mountain vegetables and simple local snacks.",https://www.nouhibus.co.jp/route_bus/shirakawago_en/,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
Kanazawa,Central Honshu,3–4 nights,"Day 1: Omicho Market lunch, Kanazawa Castle and Kenrokuen Garden.","Seafood bowls, sushi, jibuni duck stew, Kaga vegetables and roasted bocha tea.",https://visitkanazawa.jp/en/getting-around-kanazawa ; https://visitkanazawa.jp/en/feature/detail_71.html,Independent recommendation based on research,See separate instagram-places.csv for confirmed matches and unresolved entries
